epoch,loss
0,4.72216
1,4.1956
2,3.7683637
3,3.3990376
4,3.1172678
5,2.9176154
6,2.7767253
7,2.6580935
8,2.55976
9,2.4981077
10,2.4224179
11,2.3845205
12,2.3621893
13,2.3377311
14,2.330158
15,2.3140395
16,2.302619
17,2.2891634
18,2.2707915
19,2.246742
20,2.2183862
21,2.1825333
22,2.1516385
23,2.1282344
24,2.1099603
25,2.0890217
26,2.0809467
27,2.078744
28,2.07534
29,2.070214
30,2.0644922
31,2.0592124
32,2.0515597
33,2.0412154
34,2.0307782
35,2.0181851
36,2.0043578
37,2.0012214
38,2.0038395
39,2.0004056
40,1.9854071
41,1.9705817
42,1.962829
43,1.9625999
44,1.9643492
45,1.9638654
46,1.9637688
47,1.9590727
48,1.9581848
49,1.9573042
50,1.9538734
51,1.947851
52,1.9422816
53,1.9357908
54,1.9355427
55,1.9324299
56,1.932299
57,1.9321511
58,1.9284887
59,1.928686
60,1.9264446
61,1.9236648
62,1.9232087
63,1.9202844
64,1.9177707
65,1.9177758
66,1.9167037
67,1.9147297
68,1.9127686
69,1.9119159
70,1.9105291
71,1.90853
72,1.9072645
73,1.9065858
74,1.9056431
75,1.9044658
76,1.9035096
77,1.9026787
78,1.9017527
79,1.9007777
80,1.8998089
81,1.8989722
82,1.8982568
83,1.8974483
84,1.8967518
85,1.8960859
86,1.8953898
87,1.894876
88,1.8943532
89,1.893733
90,1.8931645
91,1.8927269
92,1.8922696
93,1.8917549
94,1.8912632
95,1.8908871
96,1.8905069
97,1.8901334
98,1.8897854
99,1.8894683
100,1.8891711
101,1.8888782
102,1.8885602
103,1.8882843
104,1.8880445
105,1.8878273
106,1.8876064
107,1.8873984
108,1.8872008
109,1.8870106
110,1.8868194
111,1.8866429
112,1.8864708
113,1.8862967
114,1.8861254
115,1.8859711
116,1.8858157
117,1.8856568
118,1.8855047
119,1.885355
