delta,transformedValue,naturalValue,loss
0.1625,0.60743153,0.60743153,0.7811382
0.16499999,0.6099315,0.6099315,0.78630054
0.16750005,0.6124316,0.6124316,0.787582
0.16999999,0.6149315,0.6149315,0.79223377
0.17249998,0.6174315,0.6174315,0.7962409
0.17499998,0.6199315,0.6199315,0.80176276
0.17750004,0.6224316,0.6224316,0.8026391
0.18000004,0.6249316,0.6249316,0.79910165
0.18249997,0.6274315,0.6274315,0.80056655
0.18499997,0.6299315,0.6299315,0.80451757
0.18750003,0.63243157,0.63243157,0.80932987
0.19000003,0.63493156,0.63493156,0.81475806
0.19250003,0.63743156,0.63743156,0.8175406
0.19499996,0.6399315,0.6399315,0.8181784
0.19750002,0.64243156,0.64243156,0.8161805
0.20000002,0.64493155,0.64493155,0.81114525
0.20250002,0.64743155,0.64743155,0.803698
0.20500001,0.64993155,0.64993155,0.79765034
0.20750001,0.65243155,0.65243155,0.79948235
0.21000001,0.65493155,0.65493155,0.81019115
0.2125,0.65743154,0.65743154,0.826615
0.215,0.65993154,0.65993154,0.84305274
0.2175,0.66243154,0.66243154,0.85615635
0.22,0.66493154,0.66493154,0.8638869
0.2225,0.66743153,0.66743153,0.87182003
0.225,0.66993153,0.66993153,0.8814875
0.22749999,0.6724315,0.6724315,0.8919447
0.23000005,0.6749316,0.6749316,0.9022656
0.23249999,0.6774315,0.6774315,0.91206676
0.23499998,0.6799315,0.6799315,0.9206962
0.23749998,0.6824315,0.6824315,0.927289
0.24000004,0.6849316,0.6849316,0.9350686
0.24250004,0.6874316,0.6874316,0.9452789
0.24499997,0.6899315,0.6899315,0.95490676
0.24749997,0.6924315,0.6924315,0.96463275
0.25000003,0.69493157,0.69493157,0.97339845
0.25250003,0.69743156,0.69743156,0.9789956
0.25500003,0.69993156,0.69993156,0.9786445
0.25749996,0.7024315,0.7024315,0.9786989
0.26000002,0.70493156,0.70493156,0.9820143
0.26250002,0.70743155,0.70743155,0.98945516
0.26500002,0.70993155,0.70993155,0.9977943
0.2675,0.71243155,0.71243155,1.0043116
0.27,0.71493155,0.71493155,1.0081562
0.2725,0.71743155,0.71743155,1.0124495
0.275,0.71993154,0.71993154,1.0140357
0.2775,0.72243154,0.72243154,1.0162029
0.28,0.72493154,0.72493154,1.0201622
0.2825,0.72743154,0.72743154,1.0247335
0.285,0.72993153,0.72993153,1.0288054
0.2875,0.73243153,0.73243153,1.03342
0.29,0.7349315,0.7349315,1.039692
0.29250005,0.7374316,0.7374316,1.046102
