epoch,loss
0,3.8925626
1,3.2300122
2,2.7015016
3,3.2749884
4,3.2895784
5,3.2831151
6,3.2654886
7,3.243271
8,3.2218266
9,3.2188222
10,3.2071145
11,2.9042406
12,2.7021477
13,2.6375167
14,2.658068
15,2.6786506
16,2.6792805
17,2.6629348
18,2.6350327
19,2.6106107
20,2.6057746
21,2.62292
22,2.6245952
23,2.6027398
24,2.5774505
25,2.5659523
26,2.5664673
27,2.5616214
28,2.5434935
29,2.5280087
30,2.534343
31,2.5514634
32,2.5459495
33,2.516568
34,2.4859324
35,2.4850204
36,2.4948816
37,2.4858358
38,2.4585137
39,2.4363742
40,2.4572005
41,2.4910007
42,2.484343
43,2.436689
44,2.3958614
45,2.4221377
46,2.4631605
47,2.472958
48,2.4396799
49,2.3875155
50,2.377963
51,2.4112597
52,2.412609
53,2.3756838
54,2.3567443
55,2.364567
56,2.3582501
57,2.3376544
58,2.3658857
59,2.4140677
60,2.3900108
61,2.330547
62,2.3644311
63,2.415675
64,2.4025238
65,2.3382297
66,2.3438878
67,2.4274063
68,2.40452
69,2.3177085
70,2.340485
71,2.3839304
72,2.3613927
73,2.3054674
74,2.366371
75,2.491231
76,2.4553416
77,2.323632
78,2.3159578
79,2.3646305
80,2.3509982
81,2.2970088
82,2.3587694
83,2.485601
84,2.4373646
85,2.301945
86,2.3321126
87,2.4040866
88,2.3887098
89,2.307099
90,2.3276908
91,2.452269
92,2.4094977
93,2.2901025
94,2.3419127
95,2.4122908
96,2.3873887
97,2.301099
98,2.3307936
99,2.463537
100,2.4234526
101,2.294784
102,2.3206267
103,2.3817515
104,2.3617723
105,2.2908084
106,2.3380673
107,2.4708927
108,2.4288476
109,2.2959285
110,2.3137965
111,2.3731833
112,2.356396
113,2.2881193
114,2.3336434
115,2.4617133
116,2.4191592
117,2.2900815
118,2.31361
119,2.375823
120,2.3588104
121,2.2874382
122,2.323118
123,2.4453073
124,2.404456
125,2.283377
126,2.3151786
127,2.379547
128,2.3618968
129,2.286919
130,2.3141105
131,2.4315271
132,2.3926387
133,2.278034
134,2.314825
135,2.3795872
136,2.3608153
137,2.2852602
138,2.3101113
139,2.4238317
140,2.386576
141,2.2762594
142,2.3109124
143,2.3730345
144,2.3552768
145,2.2828906
146,2.3069525
147,2.4158018
148,2.3798704
149,2.2730234
150,2.3082514
151,2.3689759
152,2.3516684
153,2.2806954
154,2.3020434
155,2.4067295
156,2.372043
157,2.2700167
158,2.306067
159,2.3659081
160,2.3482022
161,2.2779632
162,2.2974706
163,2.3984847
164,2.3661256
165,2.2686646
166,2.3033147
167,2.3614597
168,2.3445995
169,2.2759428
170,2.293361
171,2.3888278
172,2.3572335
173,2.2647119
174,2.3017385
175,2.3598833
176,2.3433635
177,2.2760355
178,2.2910733
179,2.3821912
180,2.3515177
181,2.2623947
182,2.2976065
183,2.3528917
184,2.336801
185,2.2718253
186,2.2863517
187,2.3738265
188,2.3452547
189,2.2610548
190,2.295397
191,2.3497074
192,2.3337338
193,2.270184
194,2.281269
195,2.363164
196,2.335829
197,2.2567842
198,2.2933714
199,2.347058
200,2.3322172
201,2.2695072
202,2.278269
203,2.3554971
204,2.3295596
205,2.2544966
206,2.2898643
207,2.341094
208,2.325796
209,2.2658253
210,2.2747269
211,2.3495378
212,2.3261757
213,2.255311
214,2.2884111
215,2.3370805
216,2.321452
217,2.2635715
218,2.2705653
219,2.3393643
220,2.31665
221,2.2506385
222,2.28418
223,2.3319092
224,2.3177013
225,2.2612286
226,2.266519
227,2.3312223
228,2.3096743
229,2.247701
230,2.281453
231,2.3281498
232,2.314001
233,2.2594273
234,2.2635927
235,2.3239837
236,2.3038547
237,2.2454345
238,2.277917
239,2.3227253
240,2.3094254
241,2.2568321
242,2.260492
243,2.3167863
244,2.2976673
245,2.2432716
246,2.275456
247,2.3186886
248,2.305674
249,2.2546132
250,2.2568595
251,2.3090804
252,2.2908702
253,2.2404401
254,2.2727773
255,2.3146656
256,2.3019142
257,2.2524626
258,2.2534578
259,2.3023388
260,2.2855783
261,2.2386136
262,2.2694514
263,2.3094473
264,2.297658
265,2.2503269
266,2.2502642
267,2.2956672
268,2.2802036
269,2.2366686
270,2.2662654
271,2.30458
272,2.2934332
273,2.2480607
274,2.247275
275,2.2890534
276,2.2749355
277,2.234854
278,2.2634065
279,2.300142
280,2.2894065
281,2.2461286
282,2.2443345
283,2.28273
284,2.2697456
285,2.2328467
286,2.2604415
287,2.2952235
288,2.285024
289,2.2442715
290,2.2416375
291,2.2766945
292,2.264848
293,2.2312908
294,2.2576945
295,2.2905595
296,2.281062
297,2.2423382
298,2.2390964
299,2.2711368
300,2.2602994
301,2.2296314
302,2.2549343
303,2.2859797
304,2.2768712
305,2.2402995
306,2.236821
307,2.266143
308,2.25622
309,2.2281816
310,2.251983
311,2.2811794
312,2.272528
313,2.238309
314,2.2347126
315,2.2611465
316,2.25203
317,2.2266362
318,2.249646
319,2.2773733
320,2.2692766
321,2.2368014
322,2.2320318
323,2.2554657
324,2.2472157
325,2.2248957
326,2.2477045
327,2.2737484
328,2.2660248
329,2.235187
330,2.2298057
331,2.2507532
332,2.2433095
333,2.2235727
334,2.2452884
335,2.2694442
336,2.262069
337,2.2334704
338,2.2281818
339,2.246917
340,2.240301
341,2.2224362
342,2.2427256
343,2.2651901
344,2.2584126
345,2.2317464
346,2.2263718
347,2.242828
348,2.236769
349,2.2212386
350,2.24074
351,2.261543
352,2.2552555
353,2.2304585
354,2.224464
355,2.2388651
356,2.2335436
357,2.2200203
358,2.2385545
359,2.257974
360,2.2521136
361,2.2289221
362,2.2227972
363,2.2354453
364,2.2307303
365,2.2190442
366,2.2366667
367,2.2544694
368,2.2489214
369,2.2275293
370,2.2214549
371,2.2325487
372,2.2281966
373,2.2180657
374,2.234675
375,2.2510111
376,2.2458727
377,2.2262144
378,2.2199805
379,2.2294912
380,2.22558
381,2.2170773
382,2.2268178
383,2.2337625
384,2.2257628
385,2.2155123
386,2.237175
387,2.2663343
388,2.2615333
389,2.2295282
390,2.2115414
391,2.2166955
392,2.2147102
393,2.2097533
394,2.2095032
395,2.2102082
396,2.2086759
397,2.2108042
398,2.210763
399,2.2064161
400,2.2058558
401,2.2066486
402,2.2047188
403,2.21413
404,2.2175317
405,2.2063637
406,2.2069142
407,2.2124805
408,2.2060578
409,2.2024207
410,2.2048597
411,2.2003415
412,2.2070622
413,2.2112849
414,2.203456
415,2.200219
416,2.2035613
417,2.1993477
418,2.2033849
419,2.2072942
420,2.2015984
421,2.1998634
422,2.2019854
423,2.1979241
424,2.2035687
425,2.2082453
426,2.2019858
427,2.196816
428,2.1978986
429,2.19597
430,2.1957424
431,2.1955962
432,2.194486
433,2.1988478
434,2.1993244
435,2.1935592
436,2.201287
437,2.208649
438,2.2026396
439,2.1927812
440,2.2089794
441,2.2326968
442,2.2301085
443,2.2057838
444,2.1916206
445,2.194997
446,2.1936207
447,2.1916053
448,2.1918054
449,2.1904836
450,2.1897788
451,2.1941266
452,2.1943686
453,2.1888845
454,2.1956308
455,2.2018685
456,2.1960676
457,2.1874335
458,2.2007313
459,2.2196784
460,2.217181
461,2.197329
462,2.185944
463,2.188469
464,2.1872718
465,2.1854444
466,2.1852884
467,2.185081
468,2.184608
469,2.1860964
470,2.186106
471,2.1837964
472,2.1835592
473,2.183366
474,2.1851804
475,2.1841187
476,2.1833057
477,2.1831524
478,2.1828673
479,2.1823723
480,2.1832726
481,2.1831722
482,2.181818
483,2.1815362
484,2.1828141
485,2.1824374
486,2.1810787
487,2.1809072
488,2.1818845
489,2.181583
490,2.180684
491,2.180685
492,2.181129
493,2.180935
494,2.1802897
495,2.1801507
496,2.1806984
497,2.1805384
498,2.1797075
499,2.1796243
500,2.1804245
501,2.1801212
502,2.1792185
503,2.1790104
504,2.1800818
505,2.1799576
506,2.1787853
507,2.1786652
508,2.178686
509,2.1790922
510,2.1785653
511,2.1788356
512,2.1790273
513,2.1779377
514,2.1797984
515,2.180058
516,2.177909
517,2.1793966
518,2.1813636
519,2.1797047
520,2.1772037
521,2.1821847
522,2.1882713
523,2.1873922
524,2.1808918
525,2.1769392
526,2.1777596
527,2.1774192
528,2.1768854
529,2.176833
530,2.1765966
