epoch,loss
0,4.249685
1,4.199685
2,4.1654005
3,4.1570325
4,4.1324987
5,4.113775
6,4.108541
7,4.1002164
8,4.098293
9,4.10015
10,4.098575
11,4.1020813
12,4.1027775
13,4.094134
14,4.097732
15,4.099173
16,4.0901155
17,4.0773516
18,4.088981
19,4.0936093
20,4.0894785
21,4.076211
22,4.0567665
23,4.069666
24,4.0767155
25,4.0533495
26,4.060504
27,4.0723777
28,4.070712
29,4.053071
30,4.0444508
31,4.0477214
32,4.0448976
33,4.036229
34,4.0323296
35,4.0347667
36,4.029558
37,4.0238175
38,4.0222034
39,4.0205994
40,4.0188365
41,4.0196047
42,4.018878
43,4.0146737
44,4.0198708
45,4.024692
46,4.0185065
47,4.0084343
48,4.012952
49,4.018722
50,4.0166245
51,4.0071063
52,3.9998841
53,4.000398
54,3.997793
55,3.9961739
56,3.9952664
57,3.9926322
58,3.9914007
59,3.9908497
60,3.988889
61,3.9887688
62,3.9880278
63,3.985101
64,3.9907746
65,3.9950447
66,3.9898798
67,3.981185
68,3.9845834
69,3.99052
70,3.9888787
71,3.9810076
72,3.975649
73,3.9768124
74,3.9744244
75,3.9725647
76,3.9717073
77,3.970173
78,3.968975
79,3.969882
80,3.9691606
81,3.965901
82,3.969461
83,3.9729853
84,3.968939
85,3.9621265
86,3.9659746
87,3.971575
88,3.9696708
89,3.9621198
90,3.957272
91,3.958318
92,3.95649
93,3.9548433
94,3.9540606
95,3.9528415
96,3.9519308
97,3.9528248
98,3.9521172
99,3.9495585
100,3.9529724
101,3.9568028
102,3.9530678
103,3.946485
104,3.9484696
105,3.9522438
106,3.9508166
107,3.9448981
108,3.941633
109,3.9430559
110,3.9412506
111,3.9385834
112,3.9375741
113,3.9371412
114,3.9358983
115,3.9354837
116,3.934569
117,3.9326599
118,3.9316373
119,3.9314346
120,3.9298794
121,3.9289215
122,3.9279153
123,3.9267437
124,3.9258313
125,3.9260674
126,3.9252706
127,3.9232142
128,3.9223409
129,3.922407
130,3.9210844
131,3.9201317
132,3.9194171
133,3.9182148
134,3.9172807
135,3.9175167
136,3.9167416
137,3.9148145
138,3.9142163
139,3.9134834
140,3.9126189
141,3.9122524
142,3.9108238
143,3.9118376
144,3.9117184
145,3.9087703
146,3.909633
147,3.910575
148,3.9079778
149,3.9057736
150,3.9054208
151,3.9039042
152,3.9031227
153,3.9027464
154,3.9017375
155,3.902123
156,3.9016244
157,3.8990765
158,3.9013488
159,3.903002
160,3.9002807
161,3.8960829
162,3.8998177
163,3.9043126
164,3.9025526
165,3.8958917
166,3.8923106
167,3.8927872
168,3.8912497
169,3.889275
170,3.8881586
171,3.8869803
172,3.8859935
173,3.8865619
174,3.8853204
175,3.882845
176,3.8817189
177,3.8818262
178,3.8806384
179,3.8791053
180,3.877893
181,3.877168
182,3.8759227
183,3.8740685
184,3.872893
185,3.8726473
186,3.871227
187,3.8691828
188,3.8678384
189,3.867145
190,3.8656802
191,3.8637688
192,3.8623078
193,3.861541
194,3.8599498
195,3.8575087
196,3.8559854
197,3.8552516
