delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-1.75,-0.6376598,0.52852786,-0.13125,0.5366219,0.5366219,4.2214932
-1.75,-0.6376598,0.52852786,-0.109375,0.55849695,0.55849695,4.1577578
-1.75,-0.6376598,0.52852786,-0.087500006,0.580372,0.580372,4.0943823
-1.75,-0.6376598,0.52852786,-0.06562501,0.60224694,0.60224694,4.0330896
-1.75,-0.6376598,0.52852786,-0.043749988,0.62412196,0.62412196,3.9666195
-1.75,-0.6376598,0.52852786,-0.021874994,0.6459969,0.6459969,3.893872
-1.75,-0.6376598,0.52852786,0.0,0.66787195,0.66787195,3.8091824
-1.75,-0.6376598,0.52852786,0.021874994,0.689747,0.689747,3.7246113
-1.75,-0.6376598,0.52852786,0.043749988,0.71162194,0.71162194,3.6430967
-1.75,-0.6376598,0.52852786,0.06562501,0.73349696,0.73349696,3.560105
-1.75,-0.6376598,0.52852786,0.087500006,0.7553719,0.7553719,3.466297
-1.75,-0.6376598,0.52852786,0.109375,0.77724695,0.77724695,3.3787334
-1.75,-0.6376598,0.52852786,0.13125,0.799122,0.799122,3.2941656
-1.75,-0.6376598,0.52852786,0.15312502,0.820997,0.820997,3.2151742
-1.75,-0.6376598,0.52852786,0.17499998,0.8428719,0.8428719,3.1415825
-1.75,-0.6376598,0.52852786,0.196875,0.8647469,0.8647469,3.0723753
-1.75,-0.6376598,0.52852786,0.21874997,0.88662195,0.88662195,2.9915636
-1.75,-0.6376598,0.52852786,0.240625,0.908497,0.908497,2.9144785
-1.75,-0.6376598,0.52852786,0.26250002,0.930372,0.930372,2.83694
-1.75,-0.6376598,0.52852786,0.28437498,0.9522469,0.9522469,2.7617853
-1.75,-0.6376598,0.52852786,0.30625,0.9741219,0.9741219,2.6885293
-1.75,-0.6376598,0.52852786,0.32812497,0.99599695,0.99599695,2.6122355
-1.75,-0.6376598,0.52852786,0.35,1.017872,1.017872,2.5321712
-1.625,-0.5126598,0.5989005,-0.35,0.31787196,0.31787196,4.292855
-1.625,-0.5126598,0.5989005,-0.328125,0.33974695,0.33974695,4.314097
-1.625,-0.5126598,0.5989005,-0.30625,0.36162195,0.36162195,4.378693
-1.625,-0.5126598,0.5989005,-0.284375,0.38349694,0.38349694,4.383228
-1.625,-0.5126598,0.5989005,-0.2625,0.40537196,0.40537196,4.389027
-1.625,-0.5126598,0.5989005,-0.240625,0.42724696,0.42724696,4.3812466
-1.625,-0.5126598,0.5989005,-0.21875,0.44912195,0.44912195,4.360422
-1.625,-0.5126598,0.5989005,-0.19687499,0.47099698,0.47099698,4.3274407
-1.625,-0.5126598,0.5989005,-0.175,0.49287194,0.49287194,4.290725
-1.625,-0.5126598,0.5989005,-0.153125,0.51474696,0.51474696,4.2411933
-1.625,-0.5126598,0.5989005,-0.13125,0.5366219,0.5366219,4.1746287
-1.625,-0.5126598,0.5989005,-0.109375,0.55849695,0.55849695,4.105605
-1.625,-0.5126598,0.5989005,-0.087500006,0.580372,0.580372,4.029457
-1.625,-0.5126598,0.5989005,-0.06562501,0.60224694,0.60224694,3.9465144
-1.625,-0.5126598,0.5989005,-0.043749988,0.62412196,0.62412196,3.8474588
-1.625,-0.5126598,0.5989005,-0.021874994,0.6459969,0.6459969,3.7445757
-1.625,-0.5126598,0.5989005,0.0,0.66787195,0.66787195,3.6468287
-1.625,-0.5126598,0.5989005,0.021874994,0.689747,0.689747,3.547769
-1.625,-0.5126598,0.5989005,0.043749988,0.71162194,0.71162194,3.4540818
-1.625,-0.5126598,0.5989005,0.06562501,0.73349696,0.73349696,3.357809
-1.625,-0.5126598,0.5989005,0.087500006,0.7553719,0.7553719,3.2692702
-1.625,-0.5126598,0.5989005,0.109375,0.77724695,0.77724695,3.1775188
-1.625,-0.5126598,0.5989005,0.13125,0.799122,0.799122,3.0845757
-1.625,-0.5126598,0.5989005,0.15312502,0.820997,0.820997,2.99824
-1.625,-0.5126598,0.5989005,0.17499998,0.8428719,0.8428719,2.9106226
-1.625,-0.5126598,0.5989005,0.196875,0.8647469,0.8647469,2.8196673
-1.625,-0.5126598,0.5989005,0.21874997,0.88662195,0.88662195,2.729514
-1.625,-0.5126598,0.5989005,0.240625,0.908497,0.908497,2.6376123
-1.625,-0.5126598,0.5989005,0.26250002,0.930372,0.930372,2.5521958
-1.625,-0.5126598,0.5989005,0.28437498,0.9522469,0.9522469,2.4706979
-1.625,-0.5126598,0.5989005,0.30625,0.9741219,0.9741219,2.392898
-1.625,-0.5126598,0.5989005,0.32812497,0.99599695,0.99599695,2.3131661
-1.625,-0.5126598,0.5989005,0.35,1.017872,1.017872,2.232684
-1.5,-0.3876598,0.67864317,-0.35,0.31787196,0.31787196,4.280381
-1.5,-0.3876598,0.67864317,-0.328125,0.33974695,0.33974695,4.313885
-1.5,-0.3876598,0.67864317,-0.30625,0.36162195,0.36162195,4.374435
-1.5,-0.3876598,0.67864317,-0.284375,0.38349694,0.38349694,4.3803473
-1.5,-0.3876598,0.67864317,-0.2625,0.40537196,0.40537196,4.3867464
-1.5,-0.3876598,0.67864317,-0.240625,0.42724696,0.42724696,4.3752294
-1.5,-0.3876598,0.67864317,-0.21875,0.44912195,0.44912195,4.346747
-1.5,-0.3876598,0.67864317,-0.19687499,0.47099698,0.47099698,4.3131566
-1.5,-0.3876598,0.67864317,-0.175,0.49287194,0.49287194,4.2640414
-1.5,-0.3876598,0.67864317,-0.153125,0.51474696,0.51474696,4.1951838
-1.5,-0.3876598,0.67864317,-0.13125,0.5366219,0.5366219,4.112291
-1.5,-0.3876598,0.67864317,-0.109375,0.55849695,0.55849695,4.021648
-1.5,-0.3876598,0.67864317,-0.087500006,0.580372,0.580372,3.909123
-1.5,-0.3876598,0.67864317,-0.06562501,0.60224694,0.60224694,3.7976532
-1.5,-0.3876598,0.67864317,-0.043749988,0.62412196,0.62412196,3.6871471
-1.5,-0.3876598,0.67864317,-0.021874994,0.6459969,0.6459969,3.582468
-1.5,-0.3876598,0.67864317,0.0,0.66787195,0.66787195,3.4749525
-1.5,-0.3876598,0.67864317,0.021874994,0.689747,0.689747,3.3634942
-1.5,-0.3876598,0.67864317,0.043749988,0.71162194,0.71162194,3.2542477
-1.5,-0.3876598,0.67864317,0.06562501,0.73349696,0.73349696,3.1492927
-1.5,-0.3876598,0.67864317,0.087500006,0.7553719,0.7553719,3.0461776
-1.5,-0.3876598,0.67864317,0.109375,0.77724695,0.77724695,2.943336
-1.5,-0.3876598,0.67864317,0.13125,0.799122,0.799122,2.8374574
-1.5,-0.3876598,0.67864317,0.15312502,0.820997,0.820997,2.7356675
-1.5,-0.3876598,0.67864317,0.17499998,0.8428719,0.8428719,2.636202
-1.5,-0.3876598,0.67864317,0.196875,0.8647469,0.8647469,2.5484974
-1.5,-0.3876598,0.67864317,0.21874997,0.88662195,0.88662195,2.4531639
-1.5,-0.3876598,0.67864317,0.240625,0.908497,0.908497,2.3535397
-1.5,-0.3876598,0.67864317,0.26250002,0.930372,0.930372,2.2565143
-1.5,-0.3876598,0.67864317,0.28437498,0.9522469,0.9522469,2.1673603
-1.5,-0.3876598,0.67864317,0.30625,0.9741219,0.9741219,2.0847588
-1.5,-0.3876598,0.67864317,0.32812497,0.99599695,0.99599695,2.0074942
-1.5,-0.3876598,0.67864317,0.35,1.017872,1.017872,1.9367442
-1.375,-0.2626598,0.76900345,-0.35,0.31787196,0.31787196,4.261458
-1.375,-0.2626598,0.76900345,-0.328125,0.33974695,0.33974695,4.3138065
