delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-1.75,-0.6376598,0.52852786,-0.13125,0.5366219,0.5366219,4.2200875
-1.75,-0.6376598,0.52852786,-0.109375,0.55849695,0.55849695,4.154763
-1.75,-0.6376598,0.52852786,-0.087500006,0.580372,0.580372,4.0837135
-1.75,-0.6376598,0.52852786,-0.06562501,0.60224694,0.60224694,4.0108337
-1.75,-0.6376598,0.52852786,-0.043749988,0.62412196,0.62412196,3.9387057
-1.75,-0.6376598,0.52852786,-0.021874994,0.6459969,0.6459969,3.8596041
-1.75,-0.6376598,0.52852786,0.0,0.66787195,0.66787195,3.7733254
-1.75,-0.6376598,0.52852786,0.021874994,0.689747,0.689747,3.6822026
-1.75,-0.6376598,0.52852786,0.043749988,0.71162194,0.71162194,3.5917115
-1.75,-0.6376598,0.52852786,0.06562501,0.73349696,0.73349696,3.4980857
-1.75,-0.6376598,0.52852786,0.087500006,0.7553719,0.7553719,3.4096165
-1.75,-0.6376598,0.52852786,0.109375,0.77724695,0.77724695,3.3197198
-1.75,-0.6376598,0.52852786,0.13125,0.799122,0.799122,3.2268164
-1.75,-0.6376598,0.52852786,0.15312502,0.820997,0.820997,3.1402094
-1.75,-0.6376598,0.52852786,0.17499998,0.8428719,0.8428719,3.0530581
-1.75,-0.6376598,0.52852786,0.196875,0.8647469,0.8647469,2.967434
-1.75,-0.6376598,0.52852786,0.21874997,0.88662195,0.88662195,2.8848298
-1.75,-0.6376598,0.52852786,0.240625,0.908497,0.908497,2.8008847
-1.75,-0.6376598,0.52852786,0.26250002,0.930372,0.930372,2.722312
-1.75,-0.6376598,0.52852786,0.28437498,0.9522469,0.9522469,2.6420622
-1.75,-0.6376598,0.52852786,0.30625,0.9741219,0.9741219,2.5585296
-1.75,-0.6376598,0.52852786,0.32812497,0.99599695,0.99599695,2.4787784
-1.75,-0.6376598,0.52852786,0.35,1.017872,1.017872,2.4008756
-1.625,-0.5126598,0.5989005,-0.35,0.31787196,0.31787196,4.310154
-1.625,-0.5126598,0.5989005,-0.328125,0.33974695,0.33974695,4.3525314
-1.625,-0.5126598,0.5989005,-0.30625,0.36162195,0.36162195,4.4108515
-1.625,-0.5126598,0.5989005,-0.284375,0.38349694,0.38349694,4.412748
-1.625,-0.5126598,0.5989005,-0.2625,0.40537196,0.40537196,4.417085
-1.625,-0.5126598,0.5989005,-0.240625,0.42724696,0.42724696,4.407406
-1.625,-0.5126598,0.5989005,-0.21875,0.44912195,0.44912195,4.3781953
-1.625,-0.5126598,0.5989005,-0.19687499,0.47099698,0.47099698,4.346642
-1.625,-0.5126598,0.5989005,-0.175,0.49287194,0.49287194,4.3006144
-1.625,-0.5126598,0.5989005,-0.153125,0.51474696,0.51474696,4.2430353
-1.625,-0.5126598,0.5989005,-0.13125,0.5366219,0.5366219,4.1729226
-1.625,-0.5126598,0.5989005,-0.109375,0.55849695,0.55849695,4.101068
-1.625,-0.5126598,0.5989005,-0.087500006,0.580372,0.580372,4.0269823
-1.625,-0.5126598,0.5989005,-0.06562501,0.60224694,0.60224694,3.938311
-1.625,-0.5126598,0.5989005,-0.043749988,0.62412196,0.62412196,3.8353755
-1.625,-0.5126598,0.5989005,-0.021874994,0.6459969,0.6459969,3.7247715
-1.625,-0.5126598,0.5989005,0.0,0.66787195,0.66787195,3.6148477
-1.625,-0.5126598,0.5989005,0.021874994,0.689747,0.689747,3.5052845
-1.625,-0.5126598,0.5989005,0.043749988,0.71162194,0.71162194,3.4048102
-1.625,-0.5126598,0.5989005,0.06562501,0.73349696,0.73349696,3.3042572
-1.625,-0.5126598,0.5989005,0.087500006,0.7553719,0.7553719,3.2006087
-1.625,-0.5126598,0.5989005,0.109375,0.77724695,0.77724695,3.1030874
-1.625,-0.5126598,0.5989005,0.13125,0.799122,0.799122,3.0082
-1.625,-0.5126598,0.5989005,0.15312502,0.820997,0.820997,2.9141667
-1.625,-0.5126598,0.5989005,0.17499998,0.8428719,0.8428719,2.8151674
-1.625,-0.5126598,0.5989005,0.196875,0.8647469,0.8647469,2.7222369
-1.625,-0.5126598,0.5989005,0.21874997,0.88662195,0.88662195,2.6295478
-1.625,-0.5126598,0.5989005,0.240625,0.908497,0.908497,2.5352077
-1.625,-0.5126598,0.5989005,0.26250002,0.930372,0.930372,2.4427896
-1.625,-0.5126598,0.5989005,0.28437498,0.9522469,0.9522469,2.3502398
-1.625,-0.5126598,0.5989005,0.30625,0.9741219,0.9741219,2.2624407
-1.625,-0.5126598,0.5989005,0.32812497,0.99599695,0.99599695,2.1809783
-1.625,-0.5126598,0.5989005,0.35,1.017872,1.017872,2.105608
-1.5,-0.3876598,0.67864317,-0.35,0.31787196,0.31787196,4.290081
-1.5,-0.3876598,0.67864317,-0.328125,0.33974695,0.33974695,4.351298
-1.5,-0.3876598,0.67864317,-0.30625,0.36162195,0.36162195,4.405089
-1.5,-0.3876598,0.67864317,-0.284375,0.38349694,0.38349694,4.4084764
-1.5,-0.3876598,0.67864317,-0.2625,0.40537196,0.40537196,4.4151106
-1.5,-0.3876598,0.67864317,-0.240625,0.42724696,0.42724696,4.3929214
-1.5,-0.3876598,0.67864317,-0.21875,0.44912195,0.44912195,4.3680863
-1.5,-0.3876598,0.67864317,-0.19687499,0.47099698,0.47099698,4.3218684
-1.5,-0.3876598,0.67864317,-0.175,0.49287194,0.49287194,4.2611413
-1.5,-0.3876598,0.67864317,-0.153125,0.51474696,0.51474696,4.1854763
-1.5,-0.3876598,0.67864317,-0.13125,0.5366219,0.5366219,4.098834
-1.5,-0.3876598,0.67864317,-0.109375,0.55849695,0.55849695,4.002682
-1.5,-0.3876598,0.67864317,-0.087500006,0.580372,0.580372,3.8980772
-1.5,-0.3876598,0.67864317,-0.06562501,0.60224694,0.60224694,3.7825215
-1.5,-0.3876598,0.67864317,-0.043749988,0.62412196,0.62412196,3.6508756
-1.5,-0.3876598,0.67864317,-0.021874994,0.6459969,0.6459969,3.5234451
-1.5,-0.3876598,0.67864317,0.0,0.66787195,0.66787195,3.4187942
-1.5,-0.3876598,0.67864317,0.021874994,0.689747,0.689747,3.3052447
-1.5,-0.3876598,0.67864317,0.043749988,0.71162194,0.71162194,3.1954837
-1.5,-0.3876598,0.67864317,0.06562501,0.73349696,0.73349696,3.0880818
-1.5,-0.3876598,0.67864317,0.087500006,0.7553719,0.7553719,2.9746797
-1.5,-0.3876598,0.67864317,0.109375,0.77724695,0.77724695,2.8684123
-1.5,-0.3876598,0.67864317,0.13125,0.799122,0.799122,2.7630045
-1.5,-0.3876598,0.67864317,0.15312502,0.820997,0.820997,2.6539435
-1.5,-0.3876598,0.67864317,0.17499998,0.8428719,0.8428719,2.5383635
-1.5,-0.3876598,0.67864317,0.196875,0.8647469,0.8647469,2.4331348
-1.5,-0.3876598,0.67864317,0.21874997,0.88662195,0.88662195,2.3328896
-1.5,-0.3876598,0.67864317,0.240625,0.908497,0.908497,2.2408533
-1.5,-0.3876598,0.67864317,0.26250002,0.930372,0.930372,2.1537614
-1.5,-0.3876598,0.67864317,0.28437498,0.9522469,0.9522469,2.064182
-1.5,-0.3876598,0.67864317,0.30625,0.9741219,0.9741219,1.9781119
-1.5,-0.3876598,0.67864317,0.32812497,0.99599695,0.99599695,1.8949344
-1.5,-0.3876598,0.67864317,0.35,1.017872,1.017872,1.8152305
-1.375,-0.2626598,0.76900345,-0.35,0.31787196,0.31787196,4.260796
