epoch,loss
0,14.6011305
1,14.090823
2,13.536962
3,13.028393
4,12.58846
5,12.096244
6,11.6256695
7,11.241799
8,10.810174
9,10.472905
10,10.145079
11,9.832286
12,9.594227
13,9.343869
14,9.327941
15,9.051303
16,9.092012
17,8.900047
18,8.871885
19,8.985085
20,8.9171505
21,9.020985
22,9.035963
23,9.02176
24,8.982032
25,9.002326
26,8.911827
27,8.899886
28,8.819482
29,8.78155
30,8.801541
31,8.707136
32,8.768741
33,8.752873
34,8.623256
35,8.635153
36,8.746165
37,8.743094
38,8.69743
39,8.697014
40,8.733265
41,8.709814
42,8.694223
43,8.679093
44,8.65299
45,8.623459
46,8.668636
47,8.660473
48,8.593046
49,8.573187
50,8.667494
51,8.662935
52,8.571471
53,8.56384
54,8.658015
55,8.6488285
56,8.560851
57,8.549356
58,8.637186
59,8.629637
60,8.559509
61,8.547269
62,8.621416
63,8.613673
64,8.555381
65,8.541402
66,8.607292
67,8.599914
68,8.546754
69,8.532915
70,8.598443
71,8.592085
72,8.538408
73,8.523906
74,8.592784
75,8.5868025
76,8.528474
77,8.513857
78,8.587906
79,8.582168
80,8.518396
81,8.504295
82,8.584293
83,8.578981
84,8.509193
85,8.49557
86,8.581421
87,8.576057
88,8.499882
89,8.487021
90,8.577234
91,8.5716915
92,8.491208
93,8.479575
94,8.572288
95,8.566271
96,8.484426
97,8.473841
98,8.567074
99,8.560747
100,8.478935
101,8.469088
102,8.561337
103,8.554688
104,8.474005
105,8.465167
106,8.554515
107,8.5467615
108,8.470611
109,8.462525
110,8.545832
111,8.538025
112,8.467673
113,8.459931
114,8.5370035
115,8.528988
116,8.4641485
117,8.455568
118,8.5284395
119,8.520436
120,8.456634
121,8.447123
122,8.521057
123,8.512516
124,8.447293
125,8.439725
126,8.513843
127,8.504061
128,8.442609
129,8.435499
130,8.50586
131,8.495254
132,8.437645
133,8.430135
134,8.496589
135,8.486371
136,8.43215
137,8.424961
138,8.487821
139,8.478403
140,8.426824
141,8.420072
142,8.479493
143,8.470014
144,8.422208
145,8.416327
146,8.469325
147,8.459389
148,8.419254
149,8.413617
150,8.456537
151,8.447393
152,8.4164505
153,8.410699
154,8.4447565
155,8.436654
156,8.412849
157,8.407108
158,8.434827
159,8.427365
160,8.408753
161,8.403112
162,8.425399
163,8.417951
164,8.404709
165,8.399229
166,8.415832
167,8.408845
168,8.400418
169,8.395145
170,8.406857
171,8.400639
172,8.395852
173,8.391042
174,8.398351
175,8.39288
176,8.391438
177,8.3869
178,8.39035
179,8.385588
180,8.386897
181,8.382506
182,8.383267
183,8.379303
184,8.381758
185,8.377412
186,8.377311
187,8.373505
188,8.376367
189,8.372276
190,8.371493
191,8.368148
192,8.370803
193,8.366912
194,8.365891
195,8.362809
196,8.365457
197,8.361912
198,8.360143
199,8.357171
200,8.360617
201,8.35734
202,8.353903
203,8.350983
204,8.356168
205,8.353138
206,8.347592
207,8.344964
208,8.35204
209,8.349162
210,8.342056
211,8.33995
212,8.347888
213,8.345094
214,8.33758
215,8.335783
216,8.343598
217,8.341
218,8.333526
219,8.331791
220,8.339695
221,8.337378
222,8.329265
223,8.327614
224,8.336366
225,8.334123
226,8.325223
227,8.323904
228,8.332843
229,8.330799
230,8.32174
231,8.320531
232,8.329645
233,8.327798
234,8.3183775
235,8.317372
236,8.3267355
237,8.325039
238,8.315269
239,8.314435
240,8.324039
241,8.322465
242,8.312414
243,8.3117
244,8.317213
245,8.313363
246,8.310516
247,8.310259
248,8.306257
249,8.304504
250,8.312062
251,8.312095
252,8.302056
253,8.312195
254,8.321771
255,8.31274
256,8.297417
257,8.314822
258,8.341942
259,8.339036
260,8.311363
261,8.293456
262,8.317772
263,8.353952
264,8.361752
265,8.340566
266,8.306263
267,8.289696
268,8.295787
269,8.296775
270,8.290624
271,8.28881
272,8.291351
273,8.287808
274,8.286052
275,8.286874
276,8.28379
277,8.286314
278,8.287528
279,8.283464
280,8.281095
281,8.282028
282,8.279351
283,8.279405
284,8.279712
285,8.276509
286,8.277887
287,8.279249
288,8.276414
289,8.273075
290,8.272489
291,8.271635
292,8.270588
293,8.271761
294,8.270979
295,8.267543
296,8.268219
297,8.267842
298,8.264759
299,8.266248
