epoch,loss
0,3.6396801
1,3.5996385
2,3.5585372
3,3.518154
4,3.4761887
5,3.437093
6,3.3964167
7,3.358451
8,3.3202922
9,3.2839746
10,3.25006
11,3.2175117
12,3.1880646
13,3.1601331
14,3.1341035
15,3.1101382
16,3.0881994
17,3.0678213
18,3.049102
19,3.032088
20,3.0172842
21,3.0048623
22,2.9930303
23,2.98264
24,2.9721386
25,2.963546
26,2.9544632
27,2.944211
28,2.9391596
29,2.9323947
30,2.9219441
31,2.9095712
32,2.9026794
33,2.8952017
34,2.8853605
35,2.8733475
36,2.8610911
37,2.8518786
38,2.8411329
39,2.830627
40,2.8206275
41,2.8098986
42,2.799663
43,2.7901037
44,2.780119
45,2.7712076
46,2.7618651
47,2.7517009
48,2.7423022
49,2.7333238
50,2.7238078
51,2.715121
52,2.7059906
53,2.6958
54,2.6885655
55,2.6806326
56,2.67033
57,2.6588862
58,2.650833
59,2.6431127
60,2.6331892
61,2.6218815
62,2.611446
63,2.6021073
64,2.591817
65,2.5813575
66,2.5715187
67,2.561972
68,2.5521963
69,2.5423276
70,2.5327861
71,2.5241516
72,2.5152419
73,2.5055742
74,2.498257
75,2.4909706
76,2.4815288
77,2.4723973
78,2.4649646
79,2.4574592
80,2.4500933
81,2.442871
82,2.435737
83,2.4283414
84,2.4211986
85,2.41402
86,2.4067116
87,2.3998191
88,2.3933682
89,2.3867311
90,2.3798928
91,2.3736563
92,2.367584
93,2.3611586
94,2.3547645
95,2.348621
96,2.342403
97,2.3361852
98,2.3305547
99,2.3247268
100,2.3183134
101,2.3130853
102,2.3079166
103,2.3017638
104,2.2957568
105,2.2904656
106,2.2849665
107,2.2801616
108,2.2751684
109,2.269587
110,2.264434
111,2.259685
112,2.2545922
113,2.249836
114,2.2451591
115,2.2403407
116,2.2358806
117,2.231501
118,2.2268543
119,2.2223842
120,2.2181299
121,2.2138667
122,2.2096686
123,2.205539
124,2.2014048
125,2.1973255
126,2.1933105
127,2.1893764
128,2.1855125
129,2.1817448
130,2.1780527
131,2.174416
132,2.1708727
133,2.1674182
134,2.1640234
135,2.1607218
136,2.1574657
137,2.1542609
138,2.151159
139,2.148123
140,2.1451795
141,2.1422884
142,2.1394882
143,2.136734
144,2.1340482
145,2.1314163
146,2.1288648
147,2.1263716
148,2.1239564
149,2.1215987
150,2.1193132
151,2.1170883
152,2.1149316
153,2.11283
154,2.1108003
155,2.1088283
156,2.1069243
157,2.1050823
158,2.1033008
159,2.1014893
160,2.0997975
161,2.0981462
162,2.096502
163,2.094919
164,2.0934093
165,2.0919268
166,2.0904996
167,2.0891263
168,2.0877876
169,2.0865014
170,2.0852604
171,2.0840464
172,2.082887
173,2.0817657
174,2.08067
175,2.0796227
176,2.0786102
177,2.0776253
178,2.0766754
179,2.07576
180,2.0748692
181,2.074015
182,2.0731847
183,2.0723758
184,2.0715995
185,2.0708404
186,2.0701027
187,2.069386
188,2.0686896
189,2.0680084
190,2.067342
191,2.066691
192,2.0660512
193,2.0654233
194,2.0648043
195,2.0641966
196,2.063591
197,2.0629928
198,2.0624018
199,2.06181
