delta,transformedValue,naturalValue,loss
0.0088,0.6698998,0.6698998,1.9519234
0.0089,0.66999984,0.66999984,1.9380584
0.009,0.67009985,0.67009985,1.9046942
0.009099999,0.6701999,0.6701999,1.8673722
0.009199999,0.6702998,0.6702998,1.809856
0.009299999,0.67039984,0.67039984,1.7494682
0.009399999,0.67049986,0.67049986,1.6813334
0.009499999,0.6705999,0.6705999,1.5884292
0.009599999,0.67069983,0.67069983,1.4846615
0.0097,0.67079985,0.67079985,1.3583919
0.0098,0.67089987,0.67089987,1.2422916
0.0099,0.6709998,0.6709998,1.1314663
0.01,0.67109984,0.67109984,1.155552
0.0101,0.67119986,0.67119986,1.268815
0.010200001,0.6712999,0.6712999,1.3974758
0.010300001,0.67139983,0.67139983,1.5190886
0.010400001,0.67149985,0.67149985,1.62132
0.010500001,0.67159986,0.67159986,1.7148389
0.010600001,0.6716999,0.6716999,1.7870902
0.0107,0.67179984,0.67179984,1.8606994
0.0108,0.67189986,0.67189986,1.906728
0.0109,0.6719999,0.6719999,1.9484628
0.011,0.6720998,0.6720998,1.9739393
0.0111,0.67219985,0.67219985,1.9903208
0.0112,0.67229986,0.67229986,1.9929368
0.011300001,0.6723999,0.6723999,1.9790523
0.011400001,0.67249984,0.67249984,1.9646761
0.011500001,0.67259985,0.67259985,1.9303792
0.011600001,0.67269987,0.67269987,1.8937224
0.011700001,0.6727998,0.6727998,1.8330173
0.0118,0.67289984,0.67289984,1.7769766
0.0119,0.67299986,0.67299986,1.7046081
0.012,0.6730999,0.6730999,1.6123998
