epoch,loss
0,3.2420826
1,3.227213
2,3.227237
3,3.2201996
4,3.2110868
5,3.2051198
6,3.2014668
7,3.1963043
8,3.1891315
9,3.1820035
10,3.1763804
11,3.1715395
12,3.1661189
13,3.1598115
14,3.153332
15,3.1474671
16,3.1421618
17,3.136682
18,3.1305661
19,3.1241298
20,3.1178973
21,3.1120062
22,3.1060843
23,3.099846
24,3.093364
25,3.0869355
26,3.0807118
27,3.0745456
28,3.0681715
29,3.0616105
30,3.0550542
31,3.0486329
32,3.0422406
33,3.0357509
34,3.0292058
35,3.0226877
36,3.0162668
37,3.0098639
38,3.0044525
39,3.0006745
40,2.9972305
41,2.9929225
42,2.9878337
43,2.9828544
44,2.9786265
45,2.974895
46,2.9708974
47,2.9662988
48,2.9615076
49,2.9570735
50,2.9531019
51,2.9491603
52,2.9448934
53,2.9404051
54,2.9360757
55,2.9320388
56,2.9280982
57,2.9239624
58,2.9196637
59,2.9154146
60,2.9113593
61,2.9074001
62,2.9033535
63,2.8992054
64,2.895077
65,2.8910723
66,2.887146
67,2.8831859
68,2.8791628
69,2.875142
70,2.8712046
71,2.8673368
72,2.8634486
73,2.8595188
74,2.855613
75,2.8517373
76,2.8478856
77,2.844045
78,2.8401976
79,2.8363593
80,2.8325582
81,2.828794
82,2.8250365
83,2.821275
84,2.8175237
85,2.8137875
86,2.8100758
87,2.8063688
88,2.8026586
89,2.7989511
90,2.795269
91,2.791617
92,2.7879739
93,2.7843397
94,2.7807074
95,2.7770991
96,2.7735085
97,2.7699344
98,2.7663643
99,2.7628143
100,2.7592812
101,2.7557638
102,2.7522595
103,2.7487786
104,2.745321
105,2.741865
106,2.7384248
107,2.7349918
108,2.7315671
109,2.728161
110,2.724772
111,2.7213957
112,2.7180386
113,2.7146955
114,2.7113674
115,2.7080562
116,2.7047641
117,2.701481
118,2.698216
119,2.6949658
120,2.6917326
121,2.6885207
122,2.6853297
123,2.6821613
124,2.679006
125,2.6758778
126,2.6727643
127,2.6696656
128,2.6665833
129,2.6635146
130,2.6604593
131,2.6574197
132,2.6544034
133,2.6514056
134,2.648431
135,2.6454744
136,2.6425457
137,2.639633
138,2.6367366
139,2.6338644
140,2.6310134
141,2.6281817
142,2.625373
143,2.622584
144,2.6198158
145,2.6170669
146,2.6143465
147,2.6116426
148,2.6089635
149,2.6063106
150,2.60367
151,2.6010654
152,2.5984828
153,2.5959227
154,2.5933855
155,2.5908759
156,2.588392
157,2.5859313
158,2.5834951
159,2.5810807
160,2.578688
161,2.5763183
162,2.5739682
163,2.5716455
164,2.569349
165,2.567071
166,2.5648165
167,2.562583
168,2.5603762
169,2.558189
170,2.5560317
171,2.5538936
172,2.5517833
173,2.5496964
174,2.5476313
175,2.5455933
176,2.5435758
177,2.5415857
178,2.53962
179,2.5376804
180,2.5357645
181,2.5338752
182,2.532008
183,2.5301638
184,2.5283484
185,2.5265555
186,2.524788
187,2.5230422
188,2.5213194
189,2.519616
190,2.5179272
191,2.516259
192,2.5146122
193,2.5129912
194,2.5113938
195,2.509822
196,2.5082686
197,2.5067391
198,2.505234
199,2.5037568
200,2.5022945
201,2.5008607
202,2.4994483
203,2.4980578
204,2.4966867
205,2.4953387
206,2.4940152
207,2.492713
208,2.4914303
209,2.4901729
210,2.4889321
211,2.4877133
212,2.4865196
213,2.4853425
214,2.4841855
215,2.483049
216,2.4819307
217,2.480835
218,2.4797604
219,2.4787002
220,2.4776626
221,2.4766455
222,2.4756474
223,2.474661
224,2.473697
225,2.4727511
226,2.4718273
227,2.470913
228,2.470022
229,2.469151
230,2.4682937
231,2.4674532
232,2.4666293
233,2.4658198
234,2.465031
235,2.4642541
236,2.463495
237,2.462751
238,2.4620264
239,2.4613163
240,2.460618
241,2.4599345
242,2.4592683
243,2.458617
244,2.4579782
245,2.4573572
246,2.4567482
247,2.4561458
248,2.4555647
249,2.4549928
250,2.454441
251,2.4538932
252,2.4533594
253,2.4528332
254,2.452323
255,2.4518192
256,2.4513266
257,2.4508467
258,2.4503775
259,2.4499202
260,2.4494708
261,2.4490335
262,2.4486034
263,2.4481819
264,2.4477754
265,2.4473746
266,2.4469814
267,2.4466016
268,2.446225
269,2.445861
270,2.4455004
271,2.4451468
272,2.4448087
273,2.4444711
274,2.444141
275,2.4438148
276,2.443497
277,2.443187
278,2.4428823
279,2.442586
280,2.4422917
281,2.4420002
282,2.4417183
283,2.4414353
284,2.441159
285,2.4408863
286,2.440622
287,2.4403594
288,2.4400954
289,2.4398336
290,2.4395804
291,2.4393272
292,2.4390745
293,2.4388287
294,2.4385796
295,2.4383335
296,2.4380915
297,2.4378462
298,2.437604
299,2.4373653
