delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,delta3,transformedValue3,naturalValue3,loss
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,1.0,0.49370998,1.6383834,9.572986
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,-1.0,-1.50629,0.22173108,1.8246981
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,-0.75,-1.25629,0.28470835,2.2829657
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,-0.5,-1.00629,0.36557275,2.885285
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,-0.25,-0.75629,0.4694047,3.6662362
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,0.0,-0.50629,0.60272753,4.625068
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,0.25,-0.25629002,0.7739175,5.693465
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,0.5,-0.0062900186,0.9937297,6.874683
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,0.75,0.24370998,1.2759743,8.177427
-0.5,-0.22833744,-0.22833744,-0.264375,0.026878595,0.026878595,1.0,0.49370998,1.6383834,9.613789
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,-1.0,-1.50629,0.22173108,1.7983272
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,-0.75,-1.25629,0.28470835,2.263359
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,-0.5,-1.00629,0.36557275,2.8716226
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,-0.25,-0.75629,0.4694047,3.6567655
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,0.0,-0.50629,0.60272753,4.6173577
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,0.25,-0.25629002,0.7739175,5.686981
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,0.5,-0.0062900186,0.9937297,6.868235
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,0.75,0.24370998,1.2759743,8.169022
-0.5,-0.22833744,-0.22833744,-0.2496875,0.041566104,0.041566104,1.0,0.49370998,1.6383834,9.60177
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,-1.0,-1.50629,0.22173108,1.7758743
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,-0.75,-1.25629,0.28470835,2.2737272
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,-0.5,-1.00629,0.36557275,2.9106283
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,-0.25,-0.75629,0.4694047,3.7208307
-0.5,-0.22833744,-0.22833744,-0.235,0.056253597,0.056253597,0.0,-0.50629,0.60272753,4.7028794
