delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-0.4375,-0.16583744,-0.16583744,-0.3671875,-0.0759339,-0.0759339,4.2103524
-0.4375,-0.16583744,-0.16583744,-0.3525,-0.061246395,-0.061246395,4.2103524
-0.4375,-0.16583744,-0.16583744,-0.33781248,-0.046558887,-0.046558887,4.2103524
-0.4375,-0.16583744,-0.16583744,-0.323125,-0.03187141,-0.03187141,4.2103524
-0.4375,-0.16583744,-0.16583744,-0.3084375,-0.0171839,-0.0171839,4.2103524
-0.4375,-0.16583744,-0.16583744,-0.29375,-0.0024963915,-0.0024963915,4.2103524
-0.4375,-0.16583744,-0.16583744,-0.2790625,0.012191087,0.012191087,4.222725
-0.4375,-0.16583744,-0.16583744,-0.264375,0.026878595,0.026878595,4.300741
-0.4375,-0.16583744,-0.16583744,-0.2496875,0.041566104,0.041566104,4.326419
-0.4375,-0.16583744,-0.16583744,-0.235,0.056253597,0.056253597,4.3883934
-0.4375,-0.16583744,-0.16583744,-0.2203125,0.07094109,0.07094109,4.4163046
-0.4375,-0.16583744,-0.16583744,-0.205625,0.0856286,0.0856286,4.4488726
-0.4375,-0.16583744,-0.16583744,-0.19093749,0.10031611,0.10031611,4.518213
-0.4375,-0.16583744,-0.16583744,-0.17625001,0.115003586,0.115003586,4.5787363
-0.4375,-0.16583744,-0.16583744,-0.1615625,0.1296911,0.1296911,4.6102095
-0.4375,-0.16583744,-0.16583744,-0.146875,0.1443786,0.1443786,4.687453
-0.4375,-0.16583744,-0.16583744,-0.13218749,0.15906611,0.15906611,4.775948
-0.4375,-0.16583744,-0.16583744,-0.11750001,0.17375359,0.17375359,4.8671317
-0.4375,-0.16583744,-0.16583744,-0.1028125,0.1884411,0.1884411,4.9932065
-0.4375,-0.16583744,-0.16583744,-0.08812499,0.2031286,0.2031286,4.8919315
-0.4375,-0.16583744,-0.16583744,-0.07343751,0.21781608,0.21781608,4.987194
-0.4375,-0.16583744,-0.16583744,-0.058750004,0.2325036,0.2325036,5.1841
-0.4375,-0.16583744,-0.16583744,-0.044062495,0.2471911,0.2471911,5.3230224
-0.4375,-0.16583744,-0.16583744,-0.029374987,0.2618786,0.2618786,5.3780823
-0.4375,-0.16583744,-0.16583744,-0.014687508,0.2765661,0.2765661,5.482468
-0.4375,-0.16583744,-0.16583744,0.0,0.2912536,0.2912536,5.5811954
-0.4375,-0.16583744,-0.16583744,0.014687508,0.3059411,0.3059411,5.640221
-0.4375,-0.16583744,-0.16583744,0.029374987,0.32062858,0.32062858,5.753665
-0.4375,-0.16583744,-0.16583744,0.044062525,0.33531612,0.33531612,5.8517885
-0.4375,-0.16583744,-0.16583744,0.058750004,0.3500036,0.3500036,5.8992496
-0.4375,-0.16583744,-0.16583744,0.07343748,0.36469108,0.36469108,5.994421
-0.4375,-0.16583744,-0.16583744,0.08812502,0.37937862,0.37937862,5.9789734
-0.4375,-0.16583744,-0.16583744,0.1028125,0.3940661,0.3940661,6.0581346
-0.4375,-0.16583744,-0.16583744,0.11749998,0.40875357,0.40875357,6.079059
-0.4375,-0.16583744,-0.16583744,0.13218752,0.4234411,0.4234411,6.1116233
-0.4375,-0.16583744,-0.16583744,0.146875,0.4381286,0.4381286,6.0915976
-0.4375,-0.16583744,-0.16583744,0.16156247,0.45281607,0.45281607,6.142544
-0.4375,-0.16583744,-0.16583744,0.17625001,0.4675036,0.4675036,6.176086
-0.4375,-0.16583744,-0.16583744,0.19093749,0.4821911,0.4821911,6.165404
-0.4375,-0.16583744,-0.16583744,0.20562503,0.49687862,0.49687862,6.179645
-0.4375,-0.16583744,-0.16583744,0.2203125,0.5115661,0.5115661,6.141363
-0.4375,-0.16583744,-0.16583744,0.23499998,0.5262536,0.5262536,6.177936
